"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AMBIENT_TEMPERATURE_RANGE_HIGH","AMBIENT_TEMPERATURE_RANGE_LOW","ANUNDA_CODE","CLASSNAME","CODE_IPC","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET","DATASHEETVERSION","DIGI-KEY","DIGIKEY_DESCRIPTION","DIGIKEY_PART_NUMBER","DIGIKEY_PN:","LATESTREVISIONDATE","LATESTREVISIONNOTE","MF","MFG","MFG P/N","MFG_PACKAGE_IDENT","MFR_NAME","MP","MPN","NOTEPAD","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PACKAGING","PACKING","PART DESCRIPTION","PCB DECAL","PINCOUNT","PINS","POWERWISE","PREFIX","PRICE","PUBLISHED","PUBLISHER","RADIATION HARDENING","RAM_SIZE","REACH SVHC","REFDES","REPLACEMENT","ROHS","ROHSCOMPLIANT","SET POSITION","SIM NOTE","SNAPEDA_LINK","STANDOFF_HEIGHT","SUPPLIER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIERSPARTNUMBER","SUPPLY VOLTAGE(VCC) MAX (V)","SUPPLY VOLTAGE(VCC) MIN (V)","SYMBOLNAME_1","SYMBOLNAME_2","TEMPERATURE_RANGE_HIGH","TEMPERATURE_RANGE_LOW","TEXT","TYPE","UNITPRICE","VALUE","VERIFICATION_VERSION","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"BD5291FVE-GTR","VSOF5","","","","","","M1954","","","","BD5291FVE-GTR","","","","","","","","","","","","Rohm Semiconductor","BD5291FVE-GTR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","","","","0176-1479-3","","","","","","","","","","","","","","","","","","U?","BD5291FVE-GTR  Input/Output Full Swing  Low Input Offset Voltage  Operational Amplifier"
"BD8306MUV-E2","VQFN016V3030","","","","","","D1095","","","","=Value","","","","","","","","","","","","Rohm Semiconductor","BD8306MUV-E2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD8306MUV-E2","","","*","U?","BD8306MUV-E2 Buck-Boost Converter 1.8V to 5.5V integrated 2.0A"
"BD9C601EFJ","HTSOP-J8","","","","","","","","","","BD9C601EFJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"BD9D321EFJ","HTSOP-J8","","","","","","D1094","","","","=Value","","","","","","","","","","","","Rohm Semiconductor","BD9D321EFJ-E2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD9D321EFJ-E2","","","*","U?","IC BD9D321EFJ-E2 Buck Converter 0.765-7V 3A HTSOP-J8"
"BD9G341AEFJ","HTSOP-J8","","","","","","M2139","","","","=Value","","","","","","","","","","","","Rohm Semiconductor","BD9G341AEFJ-E2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD9G341AEFJ-E2","","","*","U?","IC BD9G341AEFJ-E2 REGULATOR 12-76V 3A"
"BD9G500EFJ","HTSOP-J8","","","","","","M2159","","","","=Value","","","","","","","","","","","","Rohm Semiconductor","BD9G500EFJ-LAE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD9G500EFJ-LAE2","","","","U?","IC BD9G500EFJ-LAE2 REGULATOR 12-76V 5A"
"BG96","BG96","","","","","","","","","","BG96","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","U?","BG96 IoT NB/Cat.M1 RF Module  Quectel"
"BLUEPILL_stm32","BLUEPILL_STM32","","","","","","N2111","","","","BLUEPILL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Arduino STM32F103C8T6 ARM STM32 with Bootloader"
"BM70BLES1FC2","BM70BLES1","","","","","","N2414","","","","BM70BLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","BM70BLES1FC2  Bluetooth 5 (BLE) Module Integrated Ant 1.9-3.6Vrate"
"BQ24210","10-WSON_2x3","","","","","","M1972","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BQ24210","","","*","U?","bq24210 800-mA, Single-Input, Single-Cell Li-Ion Battery Solar Charger"
